"x"	"y"
1.025	4.94505494505494
1.075	0
1.125	0
1.175	0
1.225	0
1.275	0
1.325	0
1.375	0
1.425	0
1.475	0
1.525	0
1.575	0
1.625	0
1.675	0
1.725	0
1.775	0
1.825	0
1.875	0
1.925	0
1.975	3.28377504848094
2.025	0
2.075	0
2.125	0
2.175	0
2.225	0
2.275	0
2.325	0
2.375	0
2.425	0
2.475	0
2.525	0
2.575	0
2.625	0
2.675	0
2.725	0
2.775	0
2.825	0
2.875	0
2.925	0
2.975	1.69360051712993
3.025	0
3.075	0
3.125	0
3.175	0
3.225	0
3.275	0
3.325	0
3.375	0
3.425	0
3.475	0
3.525	0
3.575	0
3.625	0
3.675	0
3.725	0
3.775	0
3.825	0
3.875	0
3.925	0
3.975	1.44796380090498
4.025	0
4.075	0
4.125	0
4.175	0
4.225	0
4.275	0
4.325	0
4.375	0
4.425	0
4.475	0
4.525	0
4.575	0
4.625	0
4.675	0
4.725	0
4.775	0
4.825	0
4.875	0
4.925	0
4.975	0.98254686489981
5.025	0
5.075	0
5.125	0
5.175	0
5.225	0
5.275	0
5.325	0
5.375	0
5.425	0
5.475	0
5.525	0
5.575	0
5.625	0
5.675	0
5.725	0
5.775	0
5.825	0
5.875	0
5.925	0
5.975	0.820943762120236
6.025	0
6.075	0
6.125	0
6.175	0
6.225	0
6.275	0
6.325	0
6.375	0
6.425	0
6.475	0
6.525	0
6.575	0
6.625	0
6.675	0
6.725	0
6.775	0
6.825	0
6.875	0
6.925	0
6.975	0.691661279896576
7.025	0
7.075	0
7.125	0
7.175	0
7.225	0
7.275	0
7.325	0
7.375	0
7.425	0
7.475	0
7.525	0
7.575	0
7.625	0
7.675	0
7.725	0
7.775	0
7.825	0
7.875	0
7.925	0
7.975	0.601163542340015
8.025	0
8.075	0
8.125	0
8.175	0
8.225	0
8.275	0
8.325	0
8.375	0
8.425	0
8.475	0
8.525	0
8.575	0
8.625	0
8.675	0
8.725	0
8.775	0
8.825	0
8.875	0
8.925	0
8.975	0.510665804783445
9.025	0
9.075	0
9.125	0
9.175	0
9.225	0
9.275	0
9.325	0
9.375	0
9.425	0
9.475	0
9.525	0
9.575	0
9.625	0
9.675	0
9.725	0
9.775	0
9.825	0
9.875	0
9.925	0
9.975	0.400775694893351
10.025	0
10.075	0
10.125	0
10.175	0
10.225	0
10.275	0
10.325	0
10.375	0
10.425	0
10.475	0
10.525	0
10.575	0
10.625	0
10.675	0
10.725	0
10.775	0
10.825	0
10.875	0
10.925	0
